Rank,Title,Author,Publisher,Publication Date,Price,Image URL
1,더블 클릭,알간지,생각정원,2026년 01월,"17,100",https://image.yes24.com/goods/173082228/L
2,절대수익 우량주 매매법,성경호,이레미디어,2026년 02월,"35,100",https://image.yes24.com/goods/173036409/L
3,돈의 방정식,모건 하우절/박영준 역,서삼독,2026년 01월,"25,200",https://image.yes24.com/goods/172506508/L
4,엄마가 유령이 되었어!,노부미 글그림/이기웅 역,길벗어린이,2016년 05월,"10,800",https://image.yes24.com/goods/27582352/L
5,이해찬 회고록,이해찬,돌베개,2022년 09월,"20,700",https://image.yes24.com/goods/113444329/L
6,블루 아카이브 공식 4컷 청춘? 일상! 블루 아카이브 특별판,돈미니/블루 아카이브 원저,디앤씨미디어(D&C미디어),2026년 02월,"47,700",https://image.yes24.com/goods/178057103/L
7,너를 아끼며 살아라,나태주,더블북,2025년 06월,"16,650",https://image.yes24.com/goods/147276346/L
8,괴테는 모든 것을 말했다,스즈키 유이/이지수 역,리프,2025년 11월,"15,300",https://image.yes24.com/goods/164510819/L
9,박곰희 연금 부자 수업,박곰희,인플루엔셜,2025년 06월,"18,900",https://image.yes24.com/goods/148032819/L
10,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS,YBM(와이비엠),2025년 12월,"19,800",https://image.yes24.com/goods/168776448/L
11,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS,YBM(와이비엠),2025년 12월,"19,800",https://image.yes24.com/goods/168776455/L
12,자몽살구클럽,한로로,어센틱,2025년 07월,"10,800",https://image.yes24.com/goods/149385533/L
13,운명을 보는 기술,박성준,페이지2북스,2025년 10월,"16,920",https://image.yes24.com/goods/160067656/L
14,최소한의 삼국지,최태성/이성원 감수,프런트페이지,2025년 11월,"17,550",https://image.yes24.com/goods/166390503/L
15,진보를 위한 주식투자,이광수,21세기북스,2025년 12월,"19,800",https://image.yes24.com/goods/168226997/L
16,모순,양귀자,쓰다,2013년 04월,"11,700",https://image.yes24.com/goods/8759796/L
17,자본주의 시대에서 살아남기 위한 최소한의 경제 공부,백억남(김욱현),하이스트,2025년 12월,"25,200",https://image.yes24.com/goods/167503385/L
18,내 심장을 쏴라,정유정,은행나무,2026년 02월,"16,200",https://image.yes24.com/goods/176521109/L
19,안녕이라 그랬어,김애란,문학동네,2025년 06월,"15,120",https://image.yes24.com/goods/147560984/L
20,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북,2025년 12월,"17,100",https://image.yes24.com/goods/167466420/L
21,2026 심우철 실전 동형 모의고사 Season 2,심우철,에스티유니타스,2026년 02월,"13,500",https://image.yes24.com/goods/177023030/L
22,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북,2025년 12월,"16,650",https://image.yes24.com/goods/167466432/L
23,캔들차트 하나로 끝내는 추세추종 투자,성승현,포르체,2026년 01월,"22,500",https://image.yes24.com/goods/169902356/L
24,해커스 토익 기출 VOCA (보카),"David Cho, 해커스 토익연구소",해커스어학연구소,2024년 08월,"11,610",https://image.yes24.com/goods/67362730/L
